#,Photo/Example,CATEGORY,TITLE,DESIGN QUESTION and PROMPTS,TEXT / ADDITIONAL INFORMATION / EXAMPLES
1,,Introduction,Name of Deck,Example: Jump-Start Creativity,"Example: Created by Hector Lavoe, First Edition, 2025."
2,,Introduction,About This Deck,What the design deck is for. How to use my design deck.,"Offer a short paragraph that explains the genesis of the deck and its purpose. Offer a short paragraph that explains how to use it, the categories, and any unique features."
3,,Introduction,Legend (or “Key”),Example: These are the symbols used in the deck,"Explain the colors, icons, set-up, and structure of each card."
4,,Inspiration,Size Matters!,An Inspiring Quote and/or Image,"Chunky Knit (2016) is composed of twisted tubes meticulously knit by Veega Tankun. Knotted together in a braid-like design, threaded through a wooden frame, and held in place with a yellow cord."
5,,Inspiration,Be Engaging,An Inspiring Quote and/or Image,Globe Garden Chair by Peter Opsvik overcomes stereotypical sitting habits. Ask your user to engage in new ways!
6,,Inspiration,Less is a Bore,An Inspiring Quote and/or Image,"Modernist or Post-Modernist, design with intent. Geometry, color, material, and size are all up for grabs!"
7,,Inspiration,Make Them Laugh,An Inspiring Quote and/or Image,Pratone Chair (1971) by Gruppo Strum plays with proportion and material incongruities with oversized blades of polyurethane foam grass.
8,,Inspiration,About Manufacturing,An Inspiring Quote and/or Image,"With Varier Ekstrem (2020), Terje Ekstrøm distills seating to its most basic form, then exaggerates it with thick cushioned columns that curve and intersect."
9,,Inspiration,Have Fun,An Inspiring Quote and/or Image,Exploded Chair by Joyce Lin is produced with an optical illusion that makes its wood and acrylic parts appear to be falling apart.
10,,Make/Source,Trash to Treasure,What waste material can I use as an innovative raw material?,"The Wassily Chair by Marcel Breuer (1925) uses leather, a by-product of meat production, and as of 2021, a part of a $400 billion industry."
11,,Make/Source,Put It Back,Can biological or technological materials return to their origins?,"By Shigeru Ban, the Carta Chair (1996) is made of beech plywood, and rolled cardboard—all materials that can return to their origins once discarded."
12,,Make/Source,Global or Local,Would an LCA prefer global or local manufacture?,"The Rag Chair, by Tejo Remy, is made with locally sourced scrap materials bound into the shape of a chair."
13,,Make/Source,Everything A Season,"Can I work with what is, instead of what will be, or was?","Peter Cook grew a tree into the shape of a living chair, with arm rests."
14,,Make/Source,Be Re-Wasteful,What waste from my concept can be put back to work?,"“Stackabl” by Stacklab & Maison Gerard is made with felted wool, aluminum, and wood, all locally-sourced factory off-cuts."
